field	unique_values	distribution	meaning_from_source	biological_replication?	technical_replication?	batch_like?	usable_for_upper_bound?	confidence	evidence
BioProject	1	PRJNA831566:7883	NCBI project accession, shared by all Replogle raw runs.	no	no	no	no	MODERATE	SRA runinfo only; no source evidence that the levels are independent biological realizations of the same perturbation/context.
SampleName	4	K562_day_8_genome_scale:4865; RPE1_day_7_essential_scale:1848; K562_day_6_essential_scale:624; K562_day_8_ultima:546	SRA sample-level experiment label: K562/RPE1 context and day/library class.	no	no	context_or_dataset_label	no	HIGH	SRA runinfo only; no source evidence that the levels are independent biological realizations of the same perturbation/context.
BioSample	4	SAMN28561242:4865; SAMN28561244:1848; SAMN28561243:624; SAMN28561245:546	NCBI BioSample identifier; one BioSample per broad dataset in runinfo.	no	no	context_or_dataset_label	no	HIGH	SRA runinfo only; no source evidence that the levels are independent biological realizations of the same perturbation/context.
Sample	4	SRS13118566:4865; SRS13253830:1848; SRS13118565:624; SRS13258861:546	SRA sample identifier; one SRA sample per broad dataset in runinfo.	no	no	context_or_dataset_label	no	MODERATE	SRA runinfo only; no source evidence that the levels are independent biological realizations of the same perturbation/context.
Experiment	7883	SRX15390833:1; SRX15541558:1; SRX15541560:1; SRX15541561:1; SRX15541562:1; SRX15541563:1; SRX15541564:1; SRX15541565:1	SRA experiment accession; sequencing experiment/run-level metadata.	no	yes	yes	no	MODERATE	SRA runinfo only; no source evidence that the levels are independent biological realizations of the same perturbation/context.
LibraryName	7883	KD6_seq1_essential_sgRNA_lane_8_S8_L002:1; KD8_seq2_p3_mRNA_72_S73_L001:1; KD8_seq2_p3_mRNA_72_S73_L002:1; KD8_seq1_p3_mRNA_79_S80_L004:1; KD8_seq2_p3_mRNA_79_S80_L001:1; KD8_seq2_p3_mRNA_79_S80_L003:1; KD8_seq2_p3_mRNA_79_S80_L002:1; KD8_seq2_p3_mRNA_79_S80_L004:1	Sequencing library name encoding day/context/modality/lane/sample index.	no	yes	yes	no	HIGH	SRA runinfo only; no source evidence that the levels are independent biological realizations of the same perturbation/context.
library_modality	3	mRNA:3576; sgRNA:3384; UNKNOWN:923	Parsed mRNA/sgRNA modality from LibraryName.	no	no	no	no	MODERATE	SRA runinfo only; no source evidence that the levels are independent biological realizations of the same perturbation/context.
lane	49	UNKNOWN:7307; 34:12; 32:12; 31:12; 30:12; 24:12; 43:12; 42:12	Parsed sequencing lane or library shard from LibraryName.	no	yes	yes	no	HIGH	SRA runinfo only; no source evidence that the levels are independent biological realizations of the same perturbation/context.
sample_index	225	UNKNOWN:650; S1:333; S35:64; S57:64; S61:64; S59:64; S37:64; S34:64	Parsed sample index token from LibraryName.	no	yes	yes	no	MODERATE	SRA runinfo only; no source evidence that the levels are independent biological realizations of the same perturbation/context.
pool	4	UNKNOWN:2472; p3:1809; p2:1809; p1:1793	Parsed pool token such as p1/p2/p3 for KD8 genome-scale libraries.	no	yes	yes	no	MODERATE	SRA runinfo only; no source evidence that the levels are independent biological realizations of the same perturbation/context.
Run	7883	SRR19331382:1; SRR19488622:1; SRR19488620:1; SRR19488619:1; SRR19488618:1; SRR19488617:1; SRR19488616:1; SRR19488615:1	SRA run accession.	no	yes	yes	no	HIGH	SRA runinfo only; no source evidence that the levels are independent biological realizations of the same perturbation/context.
Submission	12	SRA1429397:1000; SRA1426749:1000; SRA1426757:1000; SRA1427760:1000; SRA1429386:1000; SRA1429399:1000; SRA1423548:999; SRA1437261:273	SRA submission accession.	no	no	yes	no	MODERATE	SRA runinfo only; no source evidence that the levels are independent biological realizations of the same perturbation/context.
CenterName	1	WHITEHEAD INSTITUTE / UCSF:7883	Submitting center.	no	no	no	no	MODERATE	SRA runinfo only; no source evidence that the levels are independent biological realizations of the same perturbation/context.
Model	1	Illumina NovaSeq 6000:7883	Sequencer model.	no	no	no	no	MODERATE	SRA runinfo only; no source evidence that the levels are independent biological realizations of the same perturbation/context.
Platform	1	ILLUMINA:7883	Sequencing platform.	no	no	no	no	MODERATE	SRA runinfo only; no source evidence that the levels are independent biological realizations of the same perturbation/context.
