dataset	split	target	gears_condition	in_gears_train	in_gears_test	in_state_train	in_state_test	alignment_status	reason_if_not_aligned
norman_l1	L1_seed1	AHR+FEV	AHR+FEV	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	AHR+KLF1	AHR+KLF1	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	AHR	AHR+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ARID1A	ARID1A+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ARRDC3	ARRDC3+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	ATL1	ATL1+ctrl	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	BAK1	BAK1+ctrl	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	BCL2L11+BAK1	BCL2L11+BAK1	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	BCL2L11+TGFBR2	BCL2L11+TGFBR2	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	BCL2L11	BCL2L11+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	BCORL1	BCORL1+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	BPGM+SAMD1	BPGM+SAMD1	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	BPGM+ZBTB1	BPGM+ZBTB1	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	BPGM	BPGM+ctrl	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	C19orf26	C19orf26+ctrl	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	C3orf72+FOXL2	C3orf72+FOXL2	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	C3orf72	C3orf72+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	CBFA2T3	CBFA2T3+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	CBL+CNN1	CBL+CNN1	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	CBL+TGFBR2	CBL+TGFBR2	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	CBL+UBASH3A	CBL+UBASH3A	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	CBL+UBASH3B	CBL+UBASH3B	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	CDKN1A	CDKN1A+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	CDKN1B+CDKN1A	CDKN1B+CDKN1A	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	CDKN1B	CDKN1B+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	CDKN1C+CDKN1A	CDKN1C+CDKN1A	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	CDKN1C+CDKN1B	CDKN1C+CDKN1B	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	CDKN1C	CDKN1C+ctrl	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	CEBPB+CEBPA	CEBPB+CEBPA	False	True	False	True	ALIGNED	
norman_l1	L1_seed1	CEBPB+MAPK1	CEBPB+MAPK1	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	CEBPB+OSR2	CEBPB+OSR2	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	CEBPB+PTPN12	CEBPB+PTPN12	True	False	True	False	ALIGNED	
norman_l1	L1_seed1	CEBPB	CEBPB+ctrl	False	True	False	True	ALIGNED	
