target	category	k562_cells	rpe1_cells	k562_control_count	rpe1_control_count	cross_context_eligible
AAMP	K562 only	76	0	10691	11485	False
AARS	shared	38	56	10691	11485	True
AASDHPPT	RPE1 only	0	61	10691	11485	False
AATF	shared	254	26	10691	11485	False
ABCB10	RPE1 only	0	26	10691	11485	False
ABCB7	shared	192	45	10691	11485	True
ABCE1	shared	207	48	10691	11485	True
ABCF1	shared	202	82	10691	11485	True
ABT1	shared	92	24	10691	11485	False
AC118549.1	RPE1 only	0	58	10691	11485	False
ACD	RPE1 only	0	45	10691	11485	False
ACSS2	RPE1 only	0	81	10691	11485	False
ACTB	shared	123	229	10691	11485	True
ACTL6A	K562 only	45	0	10691	11485	False
ACTR10	RPE1 only	0	28	10691	11485	False
ACTR2	RPE1 only	0	63	10691	11485	False
ACTR5	RPE1 only	0	63	10691	11485	False
ACTR6	shared	104	103	10691	11485	True
ACTR8	shared	242	86	10691	11485	True
ADAM10	RPE1 only	0	358	10691	11485	False
ADAT3	RPE1 only	0	286	10691	11485	False
ADRM1	RPE1 only	0	70	10691	11485	False
AFG3L2	RPE1 only	0	82	10691	11485	False
AGBL5	RPE1 only	0	41	10691	11485	False
AHCTF1	shared	161	71	10691	11485	True
AHCY	K562 only	133	0	10691	11485	False
AKIRIN2	shared	144	29	10691	11485	False
ALDOA	shared	77	70	10691	11485	True
ALG1	RPE1 only	0	81	10691	11485	False
ALG13	shared	167	43	10691	11485	True
ALG14	RPE1 only	0	111	10691	11485	False
ALG1L	RPE1 only	0	212	10691	11485	False
ALG2	shared	228	76	10691	11485	True
ALYREF	K562 only	141	0	10691	11485	False
ANAPC1	RPE1 only	0	71	10691	11485	False
ANAPC11	RPE1 only	0	65	10691	11485	False
ANAPC13	RPE1 only	0	111	10691	11485	False
ANAPC2	shared	237	30	10691	11485	True
ANAPC4	K562 only	59	0	10691	11485	False
ANAPC5	RPE1 only	0	40	10691	11485	False
ANKLE2	RPE1 only	0	47	10691	11485	False
ANKRD11	shared	184	149	10691	11485	True
ANKRD17	RPE1 only	0	24	10691	11485	False
ANKRD49	RPE1 only	0	92	10691	11485	False
AP2M1	RPE1 only	0	202	10691	11485	False
AP2S1	K562 only	98	0	10691	11485	False
AQR	K562 only	82	0	10691	11485	False
ARCN1	shared	214	42	10691	11485	True
ARGLU1	shared	442	91	10691	11485	True
ARHGAP6	RPE1 only	0	50	10691	11485	False
ARIH1	shared	57	56	10691	11485	True
ARL2	shared	70	193	10691	11485	True
ARMC7	shared	110	74	10691	11485	True
ARPC2	RPE1 only	0	91	10691	11485	False
ARPC3	RPE1 only	0	54	10691	11485	False
ARPC4	shared	188	70	10691	11485	True
ASCC3	RPE1 only	0	118	10691	11485	False
