target	in_k562_rl1	in_rpe1_rl1	in_k2r_rl4	in_r2k_rl4	matched_k2r_source	matched_r2k_source	matched_k2r_target_context	matched_r2k_target_context
AARS	False	False	True	True	False	False	False	False
ABCB10	False	True	False	False	False	False	False	False
ABCB7	False	False	True	True	False	False	False	False
ABCE1	True	True	True	True	True	True	True	True
ABCF1	False	False	True	True	False	False	False	False
ACD	False	True	False	False	False	False	False	False
ACSS2	False	True	False	False	False	False	False	False
ACTB	False	False	True	True	False	False	False	False
ACTR6	True	True	True	True	True	True	True	True
ACTR8	True	False	True	True	True	False	False	True
AGBL5	False	True	False	False	False	False	False	False
AHCTF1	False	False	True	True	False	False	False	False
ALDOA	False	False	True	True	False	False	False	False
ALG13	True	False	True	True	True	False	False	True
ALG2	False	False	True	True	False	False	False	False
ANAPC2	False	False	True	True	False	False	False	False
ANKLE2	False	True	False	False	False	False	False	False
ANKRD11	False	False	True	True	False	False	False	False
ARCN1	True	False	True	True	True	False	False	True
ARGLU1	False	False	True	True	False	False	False	False
ARIH1	False	False	True	True	False	False	False	False
ARL2	False	False	True	True	False	False	False	False
ARMC7	False	False	True	True	False	False	False	False
ARPC4	False	True	True	True	False	True	True	False
ATF5	False	False	True	True	False	False	False	False
ATP5F1C	False	True	False	False	False	False	False	False
ATP6AP1	True	False	True	True	True	False	False	True
ATP6V0B	False	False	True	True	False	False	False	False
ATP6V0C	False	True	True	True	False	True	True	False
ATP6V1A	True	False	True	True	True	False	False	True
ATP6V1B2	False	False	True	True	False	False	False	False
ATP6V1E1	False	True	False	False	False	False	False	False
ATR	False	False	True	True	False	False	False	False
ATRIP	False	False	True	True	False	False	False	False
AURKAIP1	False	True	False	False	False	False	False	False
BANF1	False	True	False	False	False	False	False	False
BANP	False	False	True	True	False	False	False	False
BAP1	False	False	True	True	False	False	False	False
BCAS2	False	False	True	True	False	False	False	False
BDP1	False	False	True	True	False	False	False	False
BGLAP	False	False	True	True	False	False	False	False
BMS1	False	True	False	False	False	False	False	False
BNIP1	False	False	True	True	False	False	False	False
BOP1	False	False	True	True	False	False	False	False
BRIX1	True	False	True	True	True	False	False	True
BTF3	False	True	True	True	False	True	True	False
BUD13	False	False	True	True	False	False	False	False
C9ORF78	False	True	False	False	False	False	False	False
CABIN1	False	True	False	False	False	False	False	False
CACTIN	False	False	True	True	False	False	False	False
CAPZB	False	False	True	True	False	False	False	False
CARS	False	True	False	False	False	False	False	False
CBLL1	False	False	True	True	False	False	False	False
CCDC137	False	True	False	False	False	False	False	False
CCDC59	False	False	True	True	False	False	False	False
CCDC84	False	True	True	True	False	True	True	False
CCNH	True	False	True	True	True	False	False	True
CCNK	True	False	True	True	True	False	False	True
CCNL1	False	True	False	False	False	False	False	False
CCT2	False	False	True	True	False	False	False	False
CCT3	True	False	True	True	True	False	False	True
CCT4	False	False	True	True	False	False	False	False
CCT5	True	False	False	False	False	False	False	False
CCT6A	False	False	True	True	False	False	False	False
CCT7	True	False	True	True	True	False	False	True
CCT8	False	False	True	True	False	False	False	False
CD3EAP	False	True	True	True	False	True	True	False
CDAN1	False	False	True	True	False	False	False	False
CDC123	False	False	True	True	False	False	False	False
CDC16	False	False	True	True	False	False	False	False
CDC27	False	True	True	True	False	True	True	False
CDC5L	False	False	True	True	False	False	False	False
CDC6	False	True	True	True	False	True	True	False
CDC73	True	False	True	True	True	False	False	True
CDIPT	False	True	False	False	False	False	False	False
CDK1	False	True	True	True	False	True	True	False
CDK2	False	True	False	False	False	False	False	False
CDK9	False	False	True	True	False	False	False	False
CEBPZ	False	False	True	True	False	False	False	False
CENPC	False	False	True	True	False	False	False	False
CENPE	False	False	True	True	False	False	False	False
CENPJ	True	False	True	True	True	False	False	True
CENPK	False	True	True	True	False	True	True	False
CEP192	False	False	True	True	False	False	False	False
CEP85	False	True	False	False	False	False	False	False
CHAF1B	False	False	True	True	False	False	False	False
CHCHD4	False	False	True	True	False	False	False	False
CHD4	False	False	True	True	False	False	False	False
CHEK1	False	False	True	True	False	False	False	False
CHERP	False	False	True	True	False	False	False	False
CHMP3	True	True	True	True	True	True	True	True
CHMP6	False	False	True	True	False	False	False	False
CHMP7	False	True	False	False	False	False	False	False
CIAPIN1	True	False	True	True	True	False	False	True
