dataset,model,split,perturbation,true_target_rank,top_match,top_match_similarity,true_target_similarity,is_confused
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L1,AHR+KLF1,29,CLDN6+ctrl,0.9916865229606628,0.9844188690185547,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L1,ATL1+ctrl,31,MAP4K3+ctrl,0.9983835220336914,0.9896222949028015,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L1,BAK1+ctrl,1,BAK1+ctrl,0.99855637550354,0.99855637550354,False
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L1,BCL2L11+BAK1,9,MAP4K3+ctrl,0.9981639981269836,0.9970377683639526,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L1,BCL2L11+TGFBR2,3,MAP4K3+ctrl,0.9982112050056458,0.9977078437805176,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L1,BPGM+ctrl,12,ctrl+UBASH3B,0.9979680776596069,0.9960689544677734,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L1,C19orf26+ctrl,8,ctrl+CDKN1B,0.9927794337272644,0.9913890361785889,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L1,CBL+TGFBR2,1,CBL+TGFBR2,0.9943841695785522,0.9943841695785522,False
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L1,CBL+UBASH3A,3,CLDN6+ctrl,0.9904995560646057,0.9903836846351624,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L1,CBL+UBASH3B,19,CBL+TGFBR2,0.992829442024231,0.9887998700141907,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L1,CDKN1C+CDKN1B,9,SGK1+ctrl,0.9908761978149414,0.9899840950965881,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L1,CEBPB+CEBPA,2,ctrl+CEBPA,0.9655821323394775,0.9645137786865234,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L1,CEBPB+ctrl,1,CEBPB+ctrl,0.9889585375785828,0.9889585375785828,False
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L1,CEBPE+SPI1,4,KLF1+CEBPA,0.9709485769271851,0.9677584171295166,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L1,CLDN6+ctrl,3,ATL1+ctrl,0.991626501083374,0.9915392398834229,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L1,COL2A1+ctrl,30,ctrl+RUNX1T1,0.9967422485351562,0.9881362915039062,True
