dataset,model,split,perturbation,true_target_rank,top_match,top_match_similarity,true_target_similarity,is_confused
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L3,CBFA2T3+ctrl,9,FOXA1+ctrl,0.9961199760437012,0.9933382272720337,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L3,COL1A1+ctrl,23,FOXA1+ctrl,0.995611310005188,0.9826386570930481,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L3,COL2A1+ctrl,22,FOXA1+ctrl,0.9956786036491394,0.9836517572402954,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L3,FOXA1+FOXF1,1,FOXA1+FOXF1,0.984373152256012,0.984373152256012,False
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L3,FOXA1+FOXL2,5,FOXA1+FOXF1,0.9870604872703552,0.9859560132026672,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L3,FOXA1+ctrl,3,FOXA3+ctrl,0.9928433895111084,0.9917916655540466,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L3,FOXA3+FOXA1,13,FOXA3+ctrl,0.9892844557762146,0.9853765368461609,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L3,FOXA3+FOXF1,7,FOXA3+ctrl,0.9890041947364807,0.9878309965133667,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L3,FOXA3+FOXL2,23,FOXA3+ctrl,0.9882823824882507,0.977885901927948,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L3,FOXA3+ctrl,3,FOXF1+ctrl,0.9952491521835327,0.9951028823852539,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L3,FOXF1+FOXL2,8,FOXA1+FOXF1,0.9832844138145447,0.9814941883087158,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L3,FOXF1+ctrl,1,FOXF1+ctrl,0.9933935403823853,0.9933935403823853,False
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L3,FOXL2+ctrl,7,FOXA3+ctrl,0.9925791621208191,0.9914878606796265,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L3,FOXO4+ctrl,10,FOXA3+ctrl,0.994770884513855,0.9920432567596436,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L3,MAP2K3+MAP2K6,22,FOXA3+FOXA1,0.9689664244651794,0.9486547112464905,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L3,MAP2K3+ctrl,19,FOXA3+ctrl,0.9915875196456909,0.9836783409118652,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L3,MAP2K6+ctrl,20,FOXA3+FOXA1,0.9713926315307617,0.9546072483062744,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L3,RUNX1T1+ctrl,7,ctrl+FOXA1,0.9952429533004761,0.9932777881622314,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L3,ctrl+CBFA2T3,12,FOXA1+ctrl,0.99647057056427,0.9933295249938965,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L3,ctrl+COL2A1,21,FOXA1+ctrl,0.9955220222473145,0.9843377470970154,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L3,ctrl+FOXA1,4,FOXA3+ctrl,0.9927545785903931,0.991544246673584,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L3,ctrl+FOXF1,3,FOXF1+ctrl,0.9932419061660767,0.9929199814796448,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L3,ctrl+FOXL2,4,FOXA3+ctrl,0.9924773573875427,0.9913545250892639,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L3,ctrl+MAP2K6,21,FOXA3+FOXA1,0.9710246920585632,0.9537314772605896,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L3,ctrl+RUNX1T1,6,FOXA1+ctrl,0.9954541921615601,0.9939332604408264,True
